TERM,COURSE,SECT,CRN,CRED,TITLE,SEATS,INSTRUCTOR ,PROFESSOR,MON,TUE,WED,THU,FRI,START,END,BLD,ROOM,MODALITY ,,,
202320,ENVS102,1,39672,3,ENVIRONMENTAL STUDIES II,45,Daniel,Albrecht-Mallinger,M,,W,,F,900,950,LFSCB,151,RONF,Blended-asynchronous instruct,,
202320,ENVS102,2,39673,3,ENVIRONMENTAL STUDIES II,45,Sal,Agosta,M,,W,,F,1100,1150,HHALL,2117,RONF,Blended-asynchronous instruct,,
202320,ENVS105,1,29369,3,PHYSICAL GEOLOGY,80,Arif,Sikder,,T,,R,,1230,1345,701WG,2310,RINP,Face-to-Face instruction,,
202320,ENVS311,1,12658,3,POLITICS OF THE ENVIRONMENT,100,J,Fox,M,,W,,F,1200,1250,ONLNE,,ROND,Online-synchronous instruction,,
202320,ENVS311,902,34325,3,POLITICS OF THE ENVIRONMENT,32,Jeter,Watson,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct,,
202320,ENVS321,901,42857,3,CARTOGRAPHY,20,Wyatt,Carpenter?,,,,R,,1600,1840,LFSCB,103,RINP,Face-to-Face instruction,,
202320,ENVS321,902,42858,3,CARTOGRAPHY,20,Catherine,Viverette,M,,,,,1600,1840,LFSCB,103,RINP,Face-to-Face instruction,,
202320,ENVS343,1,41245,4,DATA LITERACY,24,Lesley,Bulluck,,T,,R,,1530,1710,LFSCB,251,RINP,Face-to-Face instruction,,
202320,ENVS343,2,43773,4,DATA LITERACY,18,Daniel,Albrecht-Mallinger,M,,W,,,1300,1450,LFSCB,103,RINP,Face-to-Face instruction,,
202320,ENVS355,1,41703,3,WATER,50,Paul,Bukaveckas,,T,,R,,1400,1515,TEMPL,1160,RINP,Face-to-Face instruction,,
202320,ENVS401,1,12662,3,METEOROLOGY AND CLIMATOLOGY,75,Vickie,Connors,,T,,R,,1530,1645,MCALC,1100,RINP,Face-to-Face instruction,,
202320,ENVS521,1,34206,3,INTRO TO GEOGRAPHIC INFO SCI,20,Jennifer,Ciminelli,,T,,,,900,1140,LFSCB,103,RINP,Face-to-Face instruction,,
202320,ENVS521,902,32126,3,INTRO TO GEOGRAPHIC INFO SCI,15,Stuart,Blankenship,,T,,,,1600,1840,ONLNE,OL,ROND,Online-synchronous instruction,,
