TERM,PART_OF_TERM,COLLEGE,DEPT,COURSE,SECT,CRN,TYPE,MIN CREDITS,MAX CREDITS,TITLE,CROSS-LIST,MAX SIZE,ACTUAL ENROLLMENT,WAITLIST MAX,WAITLIST ACTUAL,PRIMARY INSTRUCTOR FIRST NAME,PRIMARY INSTRUCTOR LAST NAME,SECONDARY INSTRUCTOR FIRST NAME,SECONDARY INSTRUCTOR LAST NAME,START DATE,END DATE,MON-IND,TUE-IND,WED-IND,THU-IND,FRI-IND,SAT-IND,SUN-IND,BEGIN TIME,END TIME,BLD,ROOM,MODALITY CODE,MODALITY TEXT
202310,Full Term,VCU Life Sciences,ENVS,ENVS101,1,39025,LEC,3,3,ENVIRONMENTAL STUDIES I,"Introduction to Environmental Studies I (MWF, 9-9:50am)",49,52,0,0,Daniel,Albrecht-Mallinger,,,8/23/22,12/12/22,M,,W,,F,,,900,950,HIBBS,327,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS101,2,40533,LEC,3,3,ENVIRONMENTAL STUDIES I,Introduction to Environmental Studies I (MWF 11-11:50am),40,40,0,0,Daniel,Albrecht-Mallinger,,,8/23/22,12/12/22,M,,W,,F,,,1100,1150,HIBBS,B024,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS105,1,25839,LEC,3,3,PHYSICAL GEOLOGY,ENVS 105: Physical Geology,75,45,0,0,Arif,Sikder,,,8/23/22,12/12/22,,T,,R,,,,1100,1215,OLVPH,1024,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS201,1,21935,LEC,3,3,EARTH SYSTEM SCIENCE,,150,147,0,0,Vickie,Connors,,,8/23/22,12/12/22,,T,,R,,,,1230,1345,TEMPL,1169,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS222,1,40464,LEC,1,1,ELECTRONIC PORTFOLIOS,ENVS 222 001 ELECTRONIC PORTFOLIOS 40464,150,82,0,0,James,Vonesh,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS260,1,39018,LEC,3,3,OUTDOOR LEADERSHIP,,40,26,0,0,Samuel,Albert,,,8/23/22,12/12/22,,T,,R,,,,1400,1515,TEMPL,2223,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS265,701,43468,LEC,2,2,CANCELLED,,0,0,0,0,,,,,.,.,,,,,,,,,,,,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS291,1,44374,LEC,1,1,ST: URBAN FOOD PRODUCTION,,0,13,0,0,Jonathan,Jones,,,8/23/22,12/12/22,,,,,,,,,,,,RINS,Directed Instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS300,901,30233,LEC,3,3,SUST SOCTES: JAMES RIVER BASIN,,50,50,0,0,Brian,Toibin,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS301,902,25346,LEC,3,3,INTRODUCTION TO METEOROLOGY,,24,24,0,0,John,Bernier,,,8/23/22,12/12/22,,,,R,,,,1900,2140,LFSCB,251,RONB,Hybrid-synchronous instruction
